HNRNPA3
USP10
PUM1
SF1
EIF3E
PABPC4
FAM120C
CCT5
NONO
PKP4
PYCR1
RBM15
MOV10
ADAR
SYNCRIP
PRRC2A
ZC3HAV1
SFPQ
RAF1
FXR2
ESYT1
SRP14
PPHLN1
UPF1
EIF3G
SAFB
ZNF326
MATR3
CSNK1A1
DHX30
HSPA4
HNRNPUL1
CSNK2A2
PSPC1
FAM120A
EIF4ENIF1
PHF3
U2SURP
PDLIM5
STOML2
IGF2BP3
HNRNPDL
SHMT2
SART1
FUS
HNRNPL
PURA
SAFB2
STAU2
CAPRIN1
RALY
ZCCHC3
G3BP2
CDC73
NUFIP2
FUBP3
FUBP1
LARP1
UQCRC1
CKAP5
FXR1
DNM2
PDAP1
GOT2
DHX9
TIMM44
KTN1
ATXN2
SUGP2
HNRNPA2B1
IGF2BP2
PTCD3
NFX1
TNKS1BP1
HNRNPAB
EIF5B
HNRNPK
CCAR2
ILF3
HNRNPF
PABPC1
PTBP3
EIF3D
G3BP1
SERBP1
CNN2
EIF4G1
NDUFS7
USP10
PUM1
POLDIP3
PPP1R10
RICTOR
EIF3A
SSRP1
OTUD4
TOE1
STT3A
EIF3E
YTHDC2
CCT5
SLC3A2
PKP4
EXOSC3
PYCR1
MOV10
ADAR
PRRC2A
UBE2M
ZMYM4
LCP1
SYNCRIP
ZC3HAV1
CRYBG3
EIF2B5
FLII
GIT1
IPO9
NACA
KIF11
RAF1
ESYT1
SRP14
SLC25A13
RBM33
MAVS
WDR77
TBC1D15
NCAPD3
WDR3
FTSJ3
CNOT3
SERPINH1
SART3
KDM3B
NUP214
RANBP2
SURF4
TELO2
CSNK1A1
SMCHD1
ANKHD1
CAPZB
ABL1
PEX11B
RAI14
ZCCHC3
NCAPG
DHX30
MACF1
TWF2
HSPA4
RAB14
CAPZA2
SNRPD3
SNX2
SMN1
DNAJC11
TARDBP
FASTKD5
TPX2
HELZ
CSNK2A2
COPG2
AGO3
IQGAP1
ATP13A1
MAP1B
RFC5
DYNLL1
STAU1
RTN4
HSPE1
CEP170
CNOT1
PPP6R1
MCM3
DDX1
GFPT1
EPB41L2
FAM120A
EIF4ENIF1
PTPN23
PHF3
AHNAK
THOC7
SPTY2D1
DIDO1
TLN1
BRD7
GEMIN2
PRDX6
DPP3
DIS3
TOP3B
MRTO4
GEMIN4
STAT1
U2SURP
RPRD2
ACLY
GART
PDLIM5
ANLN
STOML2
HJURP
IGF2BP3
ZNF598
XRN1
SHMT2
PAF1
HDLBP
AKAP1
ZC3H4
NAP1L4
DDX6
PCBP1
SCAF8
NUP85
PSMB5
HNRNPL
ZMPSTE24
FLNB
CLP1
FLNA
SIPA1L3
EZR
PPAN
MAT2A
SAFB2
TOMM40
TJP1
AIMP1
STAU2
SF3B6
UBAP2L
TRIM25
RALY
MDC1
TIMM50
CTTN
MTA2
NCAPH
TRMT1L
HDAC2
COPA
NCAPD2
SF3B1
PDHB
LASP1
DDX52
CDKN2AIP
NAV1
ZFR
PLRG1
PCF11
CDC73
PSMD5
ASCC3
ZNF318
NDUFAF2
KIF1B
GAPVD1
EFTUD2
XPO1
TUBA1C
TJP2
FUBP1
BCR
MTOR
RUFY1
ARHGEF2
STRAP
RAN
GRWD1
ZCCHC8
NIFK
TPM3
ALDH9A1
CKAP5
ZNF512
CPSF2
ZC3H11A
FXR1
CDK9
WDHD1
ZNF638
DNM2
POLD1
SMC1A
MRPS27
TNRC6C
MAP2K7
PPP6R3
LUZP1
CAMK2G
EXOSC8
GTF3C3
AP2A1
NUP107
STIP1
EEF1G
RBM4
AHCTF1
GOT2
DHX9
TMEM165
PDLIM1
LRPPRC
PRPF3
POLRMT
MRPS31
INTS12
LTV1
GIGYF2
SUGP2
PYGL
MTIF2
KTN1
HERC2
DNAJB1
SND1
ARHGEF1
PTCD3
PAICS
GTF2I
CTNND1
L3MBTL2
PSMD4
UBAP2
KPNB1
NFX1
NUDC
MYCBP2
RPS19BP1
TNKS1BP1
IDH3B
SRP9
PPFIA1
LENG8
SPATA5L1
AP3B1
EIF5B
SMC2
PSMD2
LSM12
BAIAP2
COPB2
PRDX1
NUP205
DBN1
PCNA
FKBP1A
CCNT1
COPB1
STRN
DYNC1H1
CCAR2
HSPH1
NUP93
RPL10A
EXOSC10
NUP62
FASN
DHX16
RPAP3
ZC3H14
SUB1
XRN2
YTHDF2
EDC4
NOLC1
MYO18A
NVL
EIF3D
ANKRD17
PRPF31
CELF1
VCPIP1
NOL9
SNRNP200
NNT
TRIM28
SMG7
DHX57
USP10
LSM14A
PUM1
LTV1
ATXN2
IGF2BP2
SND1
PTCD3
AGO2
OTUD4
STAU2
CAPRIN1
IGF2BP1
PABPC4
IBTK
FAM120C
YTHDF3
NFX1
ZCCHC3
MOV10
BYSL
PRRC2A
G3BP2
ASCC3
FAM120A
R3HDM1
EIF4ENIF1
ZCCHC6
CPEB4
LARP4B
FUBP3
PRMT1
WDR77
TOP3B
MEX3A
GEMIN4
SECISBP2
PRRC2C
TAF15
ZCCHC11
CELF2
UPF1
LARP1B
TDRD3
LARP4
IGF2BP3
YTHDF2
CSDE1
GRSF1
MRPS27
PRRC2B
SMN1
MRPS31
HNRNPA3
PURA
ATXN2
PUM1
CSNK2A2
IGF2BP2
RFC5
PTCD3
STAU2
RAVER1
CAPRIN1
PSPC1
PABPC4
STAU1
NONO
FAM120C
RALY
COPA
NFX1
TUBB4B
ZCCHC3
MOV10
ADAR
SYNCRIP
DDX1
G3BP2
DPP3
HNRNPAB
FLII
SFPQ
KIF13B
FAM120A
EIF4ENIF1
NUFIP2
FXR2
HNRNPK
SRP14
FUBP3
CCAR2
FUBP1
PRRC2C
RBM17
U2SURP
LARP1
ILF3
HNRNPF
UPF1
PABPC1
EIF3G
ZNF326
CSNK1A1
UQCRC1
CKAP5
LARP4
IGF2BP3
SSB
HNRNPDL
FXR1
SHMT2
XRN2
PTBP3
DHX30
EIF3D
PRKAR2A
HSPA4
HNRNPUL1
G3BP1
RBM10
GOT2
DHX9
HNRNPL
CNN2
EIF4G1
USP10
